t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N,chassis,w0,w1,w2
0.4850,0.923512,-1.046046,0.967763,-0.120880,-0.142857,-0.318680,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,-0.026862,-0.007326,-0.012210,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.004987,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.4957,0.923512,-1.045665,0.968144,0.362637,0.252747,-0.010990,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.026862,-0.017094,-0.002442,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.004968,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5053,0.923512,-1.045665,0.968144,0.230770,0.098900,-0.076923,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.017094,-0.036630,-0.017094,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.004947,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5153,0.923512,-1.046046,0.968144,0.010990,-0.054947,0.120880,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.017094,-0.026862,0.012210,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.004941,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.5254,0.923131,-1.046046,0.967763,-0.076923,0.076923,-0.560440,0.923512,-1.046046,0.968144,0.007629,0.000000,0.007629,0.031746,-0.007326,-0.026862,-0.282043,-0.152175,0.196805,-0.282086,-0.152196,0.196774,0.320477,0.376082,3.004935,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5357,0.923512,-1.046046,0.967763,0.560440,-0.296703,-0.318680,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,0.026862,-0.017094,-0.012210,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.004929,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5457,0.923512,-1.046046,0.967763,0.252747,0.010990,-0.186813,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,-0.007326,-0.031746,0.007326,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.004926,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5557,0.923131,-1.045665,0.968144,-0.076923,0.406593,-0.032967,0.923512,-1.046046,0.968144,0.007629,-0.007629,0.000000,-0.017094,-0.007326,-0.012210,-0.282093,-0.152109,0.196860,-0.282086,-0.152196,0.196774,0.320489,0.376122,3.004917,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5660,0.923131,-1.045665,0.968144,-0.274727,0.230770,0.032967,0.923512,-1.046046,0.968144,0.007629,-0.007629,0.000000,-0.026862,-0.017094,-0.002442,-0.282093,-0.152109,0.196860,-0.282086,-0.152196,0.196774,0.320489,0.376122,3.004906,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5756,0.923512,-1.046046,0.967763,0.208790,-0.274727,-0.538460,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,-0.017094,-0.002442,-0.012210,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.004892,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.5860,0.923512,-1.046046,0.968144,0.406593,0.142857,0.164837,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.002442,-0.017094,0.002442,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.004877,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.5960,0.923512,-1.046046,0.968144,-0.010990,0.142857,-0.186813,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.017094,-0.007326,-0.012210,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.004858,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.6065,0.923512,-1.045665,0.968144,0.186813,0.252747,0.142857,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.012210,-0.002442,-0.017094,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.004834,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6159,0.923512,-1.046046,0.968144,0.032967,0.010990,0.010990,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.031746,-0.007326,-0.021978,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.004818,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.6261,0.923131,-1.046046,0.967763,-0.252747,0.032967,-0.340660,0.923512,-1.046046,0.968144,0.007629,0.000000,0.007629,-0.041514,-0.031746,-0.007326,-0.282043,-0.152175,0.196805,-0.282086,-0.152196,0.196774,0.320477,0.376082,3.004789,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6360,0.923131,-1.046046,0.968144,-0.252747,-0.406593,-0.164837,0.923512,-1.046046,0.968144,0.007629,0.000000,0.000000,0.002442,-0.007326,-0.021978,-0.282103,-0.152117,0.196788,-0.282086,-0.152196,0.196774,0.320503,0.376095,3.004773,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6462,0.923131,-1.046046,0.968144,-0.164837,-0.032967,-0.054947,0.923512,-1.046046,0.968144,0.007629,0.000000,0.000000,-0.007326,0.002442,-0.012210,-0.282103,-0.152117,0.196788,-0.282086,-0.152196,0.196774,0.320503,0.376095,3.004760,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6561,0.923512,-1.046046,0.967763,0.032967,-0.010990,-0.186813,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,-0.012210,-0.017094,-0.007326,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.004747,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6663,0.923131,-1.046046,0.968144,-0.384617,-0.274727,0.120880,0.923512,-1.046046,0.968144,0.007629,0.000000,0.000000,-0.031746,-0.021978,-0.002442,-0.282103,-0.152117,0.196788,-0.282086,-0.152196,0.196774,0.320503,0.376095,3.004736,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6764,0.923131,-1.045665,0.967763,-0.076923,0.428570,-0.274727,0.923512,-1.046046,0.968144,0.007629,-0.007629,0.007629,-0.031746,-0.002442,-0.002442,-0.282032,-0.152167,0.196878,-0.282086,-0.152196,0.196774,0.320464,0.376109,3.004732,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6864,0.923512,-1.045665,0.968144,0.032967,0.362637,0.186813,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.017094,-0.012210,-0.017094,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.004725,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.6965,0.923512,-1.045665,0.968144,0.208790,0.362637,0.252747,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,0.017094,-0.026862,-0.012210,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.004723,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.7066,0.923131,-1.046046,0.968144,0.032967,-0.186813,0.076923,0.923512,-1.046046,0.968144,0.007629,0.000000,0.000000,0.021978,-0.021978,-0.007326,-0.282103,-0.152117,0.196788,-0.282086,-0.152196,0.196774,0.320503,0.376095,3.004716,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.7167,0.923131,-1.045665,0.968144,-0.098900,0.142857,0.010990,0.923512,-1.046046,0.968144,0.007629,-0.007629,0.000000,0.007326,-0.021978,-0.002442,-0.282093,-0.152109,0.196860,-0.282086,-0.152196,0.196774,0.320489,0.376122,3.004706,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.7267,0.923512,-1.046046,0.968144,0.142857,0.010990,0.362637,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.002442,-0.017094,-0.017094,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.004682,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.7370,0.923512,-1.046046,0.968144,0.120880,-0.164837,0.296703,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.017094,-0.031746,-0.021978,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.004675,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
