t,s_m,pct,plane,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,lag_rad
0.5408,0.04320,0.36,APPROACH,0.328410,0.558440,0.482526,-0.450550,0.010990,0.142857,0.310139,0.559713,0.493640,-0.365413,0.025467,0.222285,-0.109890,-0.217339,-0.041514,0.016977,0.047739,0.428089,0.014802,0.053623,0.427068,0.050667,0.431077,0.018271
0.5511,0.04400,0.36,APPROACH,0.326121,0.559584,0.484434,-0.076923,0.098900,0.208790,0.308592,0.561254,0.495508,-0.350575,0.033399,0.221476,-0.007326,-0.168498,-0.036630,0.016815,0.048670,0.428025,0.014738,0.054420,0.427068,0.051493,0.431111,0.017529
0.5603,0.04480,0.37,APPROACH,0.324214,0.560729,0.485960,-0.318680,-0.120880,-0.120880,0.307055,0.562805,0.497385,-0.343182,0.041529,0.228510,-0.256411,-0.095238,-0.056166,0.016737,0.049462,0.427973,0.014674,0.055217,0.427068,0.052217,0.431147,0.017159
0.5711,0.04560,0.38,APPROACH,0.321544,0.561492,0.487867,-0.340660,-0.076923,0.164837,0.305526,0.564366,0.499273,-0.320345,0.057486,0.228109,0.065934,-0.075702,-0.061050,0.016488,0.050433,0.427859,0.014609,0.056015,0.427068,0.053060,0.431136,0.016017
0.5809,0.04640,0.38,APPROACH,0.319636,0.561873,0.489012,-0.626373,0.252747,0.142857,0.304007,0.565937,0.501170,-0.312581,0.081268,0.243162,-0.075702,-0.051282,-0.041514,0.016321,0.051077,0.427760,0.014545,0.056812,0.427068,0.053621,0.431107,0.015629
0.5918,0.04720,0.39,APPROACH,0.317729,0.562636,0.490919,-0.472527,0.296703,0.186813,0.302497,0.567517,0.503077,-0.304632,0.097619,0.243151,-0.065934,-0.041514,-0.017094,0.016072,0.051867,0.427710,0.014481,0.057610,0.427068,0.054300,0.431143,0.015232
0.6013,0.04800,0.40,APPROACH,0.315059,0.563399,0.492445,-0.626373,0.274727,0.340660,0.300997,0.569108,0.504993,-0.281238,0.114168,0.250964,0.041514,-0.012210,-0.012210,0.015906,0.052787,0.427570,0.014417,0.058407,0.427068,0.055132,0.431110,0.014062
0.6118,0.04880,0.40,APPROACH,0.313533,0.564162,0.493971,-0.406593,0.208790,0.098900,0.299505,0.570708,0.506919,-0.280546,0.130914,0.258972,-0.090354,-0.051282,-0.002442,0.015742,0.053438,0.427533,0.014353,0.059205,0.427068,0.055708,0.431147,0.014027
0.6215,0.04960,0.41,APPROACH,0.311625,0.564544,0.495878,-0.384617,-0.032967,0.362637,0.298023,0.572318,0.508855,-0.272038,0.155487,0.259545,-0.061050,-0.007326,-0.012210,0.015405,0.054176,0.427466,0.014288,0.060002,0.427068,0.056324,0.431160,0.013602
0.6324,0.05040,0.42,APPROACH,0.309337,0.565307,0.497404,-0.428570,0.274727,0.120880,0.296551,0.573938,0.510801,-0.255715,0.172629,0.267943,0.026862,0.051282,-0.002442,0.015239,0.055005,0.427356,0.014224,0.060799,0.427068,0.057077,0.431150,0.013397
0.6411,0.05120,0.42,APPROACH,0.308192,0.565688,0.498930,-0.010990,0.076923,0.164837,0.295087,0.575568,0.512757,-0.262093,0.197597,0.276537,-0.163614,0.080586,0.012210,0.014988,0.055516,0.427337,0.014160,0.061597,0.427068,0.057503,0.431188,0.013827
